name,roll,branch,start_year,current_courses,previous_courses_with_grades
Vihaan Verma,ECE2021-001,BT,2022,DSA;CN;DSA;ML;201;301,301|7.5;202|5.8;101|9.4;DBMS|5.3;501|9.4;CNTR|5.6
Ananya Chowdhury,200002,CSE,2020,ML;502;101;CNTR;NLP,DBMS|8.8;502|9.7;SE|6.0;302|6.1;ML|8.9;101|9.9;302|5.8;AI|9.2;302|7.1
Tanvi Kumar,200003,ECE,2020,AI;OS;102;CN,402|10.0;101|8.2;AI|9.7;302|7.2;OOPS|5.8;102|8.4;201|5.1
Arjun Patel,ME2019-004,Maths,2019,501;502;SE;502;202;101,DSA|8.5;AI|7.0;SE|9.0;101|5.4;402|7.0
Tanvi Mehta,200005,ECE,2020,CNTR;SE;SE;SE;501,302|7.6;OOPS|8.9;CN|8.4;DBMS|6.6;OOPS|5.5;202|9.6;OS|7.6
Aditi Patel,200006,CE,2023,CNTR;101;ML;101,OOPS|5.7;501|7.0;102|9.6;SE|6.8;302|8.7;DBMS|8.8;OS|7.4;DSA|5.1;302|8.6;CN|6.8
Aditya Khan,ECE2021-007,ECE,2023,501;501;AI;ML,OOPS|8.5;402|7.6;302|5.2;401|9.5;CN|6.7;501|9.8;OS|9.9
Isha Malhotra,200008,ME,2019,502;301;SE;NLP,501|5.4;DBMS|9.1;402|6.8;AI|5.5;OS|5.9;402|8.2;SE|7.5;301|6.1;OS|7.7;DBMS|7.7
Diya Chowdhury,200009,Physics,2021,AI;301;202;502;501,OOPS|6.4;201|5.4;101|6.5;501|5.8;201|5.3;402|9.4;CN|5.7;501|9.1;102|8.6;AI|9.2
Neha Mehta,200010,Maths,2020,401;502;502;OOPS;DSA,NLP|9.6;ML|6.3;SE|5.7;OS|7.5;402|6.9;301|9.2;NLP|8.6;501|8.8;301|6.8
Sai Iyer,CE2021-011,Physics,2021,DBMS;DSA;102,DBMS|6.3;CN|7.7;102|6.7;DBMS|8.4;402|9.8;DSA|5.6;OS|9.8;OS|10.0
Ritika Bose,200012,CSE,2023,OOPS;ML;NLP;102,501|9.0;302|8.3;DSA|9.8;CNTR|5.3;SE|7.6
Isha Gupta,200013,CE,2019,102;AI;402;AI;OS;402,102|7.1;DBMS|6.3;201|10.0;OS|7.7;OS|9.8;ML|7.8
Arjun Nair,200014,Maths,2021,CN;401;102;OOPS;502,102|7.9;101|6.8;102|7.7;OS|9.9;CNTR|6.8;DSA|9.3
Yash Desai,200015,EE,2021,CN;OOPS;NLP;401;401,NLP|6.0;ML|6.9;DBMS|6.2;OS|8.4;DSA|8.4
Sakshi Mehta,200016,ECE,2022,301;NLP;401;102;301,SE|7.3;DBMS|6.7;301|8.4;402|9.3;302|9.9;CNTR|8.4;202|5.1;SE|7.8;DBMS|8.3;DBMS|7.4
Neha Sharma,200017,CE,2019,402;NLP;101;DSA,ML|6.6;202|8.1;OS|6.5;401|9.0;301|9.9;302|8.6;301|7.1
Sakshi Nair,200018,CSE,2020,501;301;101,502|7.5;CN|9.9;401|9.9;202|6.4;502|7.5;502|9.2;101|6.0;202|7.5
Ishaan Jain,200019,Physics,2022,201;OOPS;NLP,401|7.6;CNTR|8.1;AI|7.7;502|9.2;OS|6.2;DSA|6.7
Isha Kapoor,200020,Maths,2019,NLP;DBMS;SE,401|7.5;502|9.2;201|8.3;202|9.0;AI|5.7;502|5.3;502|9.9;201|8.2
Sai Mehta,200021,CE,2019,OS;OS;101;202;DBMS,ML|9.6;502|8.9;SE|6.4;502|6.3;DBMS|7.2;SE|9.2
Aarav Agarwal,200022,CSE,2023,CNTR;ML;102;301,ML|8.5;502|9.0;DBMS|6.6;101|9.3;OS|6.4;501|6.4;CN|6.1
Krishna Kumar,200023,CE,2023,401;102;302;101;302,401|6.5;301|7.7;CNTR|9.5;401|6.5;102|9.2;502|5.8;301|8.4;502|7.2
Aditi Desai,200024,ME,2020,202;CN;DSA;201,CNTR|9.8;OOPS|8.5;101|7.7;202|8.7;ML|9.3;202|9.9;AI|8.2;101|6.0;202|5.9
Arjun Verma,200025,ME,2020,ML;OOPS;402,401|8.9;CN|5.5;SE|9.9;CNTR|9.6;202|9.7;ML|9.7;402|7.6;DSA|7.4;201|8.4;201|6.7
Sai Verma,200026,Physics,2021,302;401;OOPS;302;CNTR,102|5.2;SE|9.5;501|8.8;AI|8.6;502|7.8;502|6.7;NLP|7.4;301|8.0;OS|8.9
Arjun Malhotra,ME2021-027,CE,2019,CNTR;CNTR;502;202,501|9.7;401|9.6;DBMS|9.6;OOPS|9.0;DSA|7.2;102|6.3;501|6.3
Vivaan Patel,CE2021-028,Physics,2021,102;ML;NLP;CN;302,201|7.4;ML|7.1;DBMS|8.3;CNTR|8.6;AI|6.1;DSA|6.1;SE|7.4;402|7.6
Vihaan Gupta,EE2022-029,CE,2019,CN;501;DSA;NLP,DBMS|6.4;OS|9.9;OOPS|8.3;102|7.1;SE|9.6;ML|8.8;NLP|5.0
Aditi Chowdhury,Maths2021-030,CSE,2022,NLP;ML;OS,OS|9.9;502|5.1;NLP|7.9;SE|7.9;CNTR|8.5;AI|9.9;301|7.8;DSA|5.7;201|7.7;OOPS|5.0
Vivaan Chowdhury,EE2022-031,Maths,2021,SE;CNTR;OS;502;402,DSA|5.0;ML|9.5;ML|7.3;SE|6.5;AI|9.0
Arjun Agarwal,200032,ECE,2023,302;SE;301;CNTR,CN|8.5;202|6.3;101|5.5;OOPS|6.4;502|5.3;DSA|8.8
Sakshi Khan,Maths2019-033,Maths,2023,201;NLP;402;OS;ML,CN|8.9;OS|6.2;NLP|7.4;102|8.5;501|6.8;CNTR|9.5;502|7.4;502|7.1;201|6.7
Tanvi Kapoor,200034,Physics,2023,NLP;AI;302;OOPS;302;501,SE|6.1;401|8.1;ML|6.0;101|8.2;DBMS|9.4
Sai Gupta,200035,Maths,2021,CN;501;102;NLP;102,DBMS|5.5;101|6.5;501|5.8;501|5.3;402|9.9
Arjun Nair,200036,CSE,2023,AI;ML;301;202;AI,OOPS|9.2;CNTR|6.3;DSA|7.7;302|7.0;DBMS|6.6;OS|7.6
